# started: save_path=sota/ verify_num_samples=10000
[VERIFY] 2026-01-17 18:41:09 | Epoch 0088 | valid 562/10000 (5.62%) | invalid 2945/10000 (29.45%) | nan 6493/10000 (64.93%) | viol_counts hip=6966 thigh=109 calf=5484 | viol(rad) mean=0.254843 max=1.281198
[VERIFY] 2026-01-17 18:42:16 | Epoch 0089 | valid 556/10000 (5.56%) | invalid 3024/10000 (30.24%) | nan 6420/10000 (64.20%) | viol_counts hip=6992 thigh=111 calf=5407 | viol(rad) mean=0.250524 max=1.168407
[VERIFY] 2026-01-17 18:43:22 | Epoch 0090 | valid 597/10000 (5.97%) | invalid 2943/10000 (29.43%) | nan 6460/10000 (64.60%) | viol_counts hip=6891 thigh=124 calf=5333 | viol(rad) mean=0.248321 max=1.232512
[VERIFY] 2026-01-17 18:44:28 | Epoch 0091 | valid 531/10000 (5.31%) | invalid 2956/10000 (29.56%) | nan 6513/10000 (65.13%) | viol_counts hip=6912 thigh=117 calf=5381 | viol(rad) mean=0.251213 max=1.182791
[VERIFY] 2026-01-17 18:45:35 | Epoch 0092 | valid 562/10000 (5.62%) | invalid 3014/10000 (30.14%) | nan 6424/10000 (64.24%) | viol_counts hip=7061 thigh=107 calf=5363 | viol(rad) mean=0.249216 max=1.316153
[VERIFY] 2026-01-17 18:46:41 | Epoch 0093 | valid 561/10000 (5.61%) | invalid 2876/10000 (28.76%) | nan 6563/10000 (65.63%) | viol_counts hip=6905 thigh=127 calf=5353 | viol(rad) mean=0.252828 max=1.307720
[VERIFY] 2026-01-17 18:47:48 | Epoch 0094 | valid 537/10000 (5.37%) | invalid 2946/10000 (29.46%) | nan 6517/10000 (65.17%) | viol_counts hip=6889 thigh=113 calf=5335 | viol(rad) mean=0.253429 max=1.202523
[VERIFY] 2026-01-17 18:48:54 | Epoch 0095 | valid 567/10000 (5.67%) | invalid 2975/10000 (29.75%) | nan 6458/10000 (64.58%) | viol_counts hip=6851 thigh=110 calf=5383 | viol(rad) mean=0.249837 max=1.203197
[VERIFY] 2026-01-17 18:50:00 | Epoch 0096 | valid 551/10000 (5.51%) | invalid 2863/10000 (28.63%) | nan 6586/10000 (65.86%) | viol_counts hip=6899 thigh=124 calf=5172 | viol(rad) mean=0.252338 max=1.488772
[VERIFY] 2026-01-17 18:51:07 | Epoch 0097 | valid 560/10000 (5.60%) | invalid 2996/10000 (29.96%) | nan 6444/10000 (64.44%) | viol_counts hip=6873 thigh=98 calf=5323 | viol(rad) mean=0.248711 max=1.237913
[VERIFY] 2026-01-17 18:52:13 | Epoch 0098 | valid 566/10000 (5.66%) | invalid 2881/10000 (28.81%) | nan 6553/10000 (65.53%) | viol_counts hip=6978 thigh=125 calf=5249 | viol(rad) mean=0.249947 max=1.077071
[VERIFY] 2026-01-17 18:53:19 | Epoch 0099 | valid 553/10000 (5.53%) | invalid 2977/10000 (29.77%) | nan 6470/10000 (64.70%) | viol_counts hip=7067 thigh=99 calf=5256 | viol(rad) mean=0.249181 max=1.329747
[VERIFY] 2026-01-17 18:54:26 | Epoch 0100 | valid 591/10000 (5.91%) | invalid 3011/10000 (30.11%) | nan 6398/10000 (63.98%) | viol_counts hip=6976 thigh=120 calf=5303 | viol(rad) mean=0.249359 max=1.269269
[VERIFY] 2026-01-17 18:55:32 | Epoch 0101 | valid 599/10000 (5.99%) | invalid 2867/10000 (28.67%) | nan 6534/10000 (65.34%) | viol_counts hip=6885 thigh=130 calf=5358 | viol(rad) mean=0.250535 max=1.161012
[VERIFY] 2026-01-17 18:56:39 | Epoch 0102 | valid 560/10000 (5.60%) | invalid 3055/10000 (30.55%) | nan 6385/10000 (63.85%) | viol_counts hip=7093 thigh=116 calf=5289 | viol(rad) mean=0.252725 max=1.275207
[VERIFY] 2026-01-17 18:57:45 | Epoch 0103 | valid 578/10000 (5.78%) | invalid 2868/10000 (28.68%) | nan 6554/10000 (65.54%) | viol_counts hip=6861 thigh=95 calf=5203 | viol(rad) mean=0.246115 max=1.254777
[VERIFY] 2026-01-17 18:58:52 | Epoch 0104 | valid 594/10000 (5.94%) | invalid 2956/10000 (29.56%) | nan 6450/10000 (64.50%) | viol_counts hip=7069 thigh=113 calf=5289 | viol(rad) mean=0.248118 max=1.298035
[VERIFY] 2026-01-17 18:59:58 | Epoch 0105 | valid 596/10000 (5.96%) | invalid 3009/10000 (30.09%) | nan 6395/10000 (63.95%) | viol_counts hip=7008 thigh=111 calf=5349 | viol(rad) mean=0.250983 max=1.210824
[VERIFY] 2026-01-17 19:01:04 | Epoch 0106 | valid 587/10000 (5.87%) | invalid 2887/10000 (28.87%) | nan 6526/10000 (65.26%) | viol_counts hip=6849 thigh=101 calf=5172 | viol(rad) mean=0.249406 max=1.384705
[VERIFY] 2026-01-17 19:02:11 | Epoch 0107 | valid 540/10000 (5.40%) | invalid 2921/10000 (29.21%) | nan 6539/10000 (65.39%) | viol_counts hip=7021 thigh=130 calf=5310 | viol(rad) mean=0.255160 max=1.214132
[VERIFY] 2026-01-17 19:03:17 | Epoch 0108 | valid 540/10000 (5.40%) | invalid 3026/10000 (30.26%) | nan 6434/10000 (64.34%) | viol_counts hip=7014 thigh=120 calf=5281 | viol(rad) mean=0.249669 max=1.205283
[VERIFY] 2026-01-17 19:04:23 | Epoch 0109 | valid 551/10000 (5.51%) | invalid 2925/10000 (29.25%) | nan 6524/10000 (65.24%) | viol_counts hip=6853 thigh=92 calf=5350 | viol(rad) mean=0.251597 max=1.337944
[VERIFY] 2026-01-17 19:05:30 | Epoch 0110 | valid 572/10000 (5.72%) | invalid 2981/10000 (29.81%) | nan 6447/10000 (64.47%) | viol_counts hip=7012 thigh=112 calf=5199 | viol(rad) mean=0.250465 max=1.184048
[VERIFY] 2026-01-17 19:06:37 | Epoch 0111 | valid 547/10000 (5.47%) | invalid 2965/10000 (29.65%) | nan 6488/10000 (64.88%) | viol_counts hip=6902 thigh=106 calf=5465 | viol(rad) mean=0.252782 max=1.208436
[VERIFY] 2026-01-17 19:07:43 | Epoch 0112 | valid 570/10000 (5.70%) | invalid 3025/10000 (30.25%) | nan 6405/10000 (64.05%) | viol_counts hip=6980 thigh=116 calf=5306 | viol(rad) mean=0.248846 max=1.194382
